"time" "cause" "pct" "age_specific" "sex" "id" "start" "end" "group" "cip"
35 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.000940211613677168
35 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00165266004362947
35.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997319733127356
35.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00096801303053171
35.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00171225384211113
35.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997213046467399
35.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00100159180799948
35.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00178536172460003
35.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.997097043620819
35.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00103697880116838
35.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00186597757801131
36 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996987405156539
36 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0010624168708017
36 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00195017797265801
36.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996895851452499
36.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00108774208460339
36.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00201640646289698
36.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996781295921834
36.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00111104429642683
36.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00210765978173838
36.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996688327749028
36.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00114203264114097
36.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00216963960983059
37 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996587791820003
37 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00118070338247669
37 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00223150479752042
37.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996498910893282
37.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00119809126533856
37.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0023029978413797
37.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996384892184687
37.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00121934922745014
37.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00239575858786325
37.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996266915374732
37.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00125029362975385
37.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00248279099551382
38 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996143076716209
38 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00127544730068579
38 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00258147598310388
38.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.996021042501284
38.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00129482206281734
38.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00268413543589735
38.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995916230614649
38.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0013200496658535
38.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00276371971949588
38.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995770171084095
38.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00135510795518401
38.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00287472096071905
39 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995646946838284
39 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00137466558156811
39 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00297838758014535
39.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995509464678748
39.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00141002407963813
39.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.003080511241611
39.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995371364984034
39.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00143173360153588
39.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00319690141442728
39.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995216565260572
39.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0014515953454375
39.75 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00333183939398832
40 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.995086696754234
40 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00147556642122572
40 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00343773682453814
40.25 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.994935953053655
40.25 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00150569966428086
40.25 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00355834728206267
40.5 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.994763903576896
40.5 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.0015542471681309
40.5 "Natural" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00368184925497188
40.75 "Censored" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.994612822555053
40.75 "External" 25 25 "Females" 15 "O00" "O99" "Diagnosed" 0.00158488681147284
