"id" "start" "end" "sex" "cod" "exposure" "n" "fu" "cases" "HR" "CI_left" "CI_right"
1010 "A90" "A99" "All" "All" 4 515 1068.47364323677 18 1.44304709449955 0.909174399214706 2.29041305908112
1010 "A90" "A99" "All" "All" 5 299 1209.59742495696 11 1.0325101527665 0.571801350793129 1.86441884771203
1010 "A90" "A99" "All" "All" 6 196 1243.90237293211 10 1.14100958260784 0.613919319007997 2.12064163367035
1011 "B00" "B09" "All" "All" 0 7365903 101018238.740759 1017455 1 NA NA
1011 "B00" "B09" "All" "All" 1 66999 31647.9909798637 2861 5.33547608045008 5.14319241158508 5.53494847692886
1011 "B00" "B09" "All" "All" 2 62905 30135.2779624223 1259 2.53371756746713 2.39745836789518 2.67772103893828
1011 "B00" "B09" "All" "All" 3 61675 56850.9219627218 1908 2.04563324632537 1.9557751811768 2.13961983910328
1011 "B00" "B09" "All" "All" 4 62237 149284.461801033 4154 1.73771184908259 1.68553759384065 1.79150111007699
1011 "B00" "B09" "All" "All" 5 45260 184188.14819223 4093 1.59982579064423 1.55143245710831 1.64972864186491
1011 "B00" "B09" "All" "All" 6 29359 191053.184706939 2543 1.35815052575346 1.30624889739649 1.41211437902904
1012 "B15" "B19" "All" "All" 0 7373470 101426149.576293 1028572 1 NA NA
1012 "B15" "B19" "All" "All" 1 20820 9908.87755071487 754 16.9602952463906 15.7910699438333 18.2160940245264
1012 "B15" "B19" "All" "All" 2 20176 9740.82170821169 353 8.23416835525973 7.41820306744563 9.13988574946188
1012 "B15" "B19" "All" "All" 3 20456 19157.1594879856 489 5.8323522717627 5.33742713255873 6.37317047654539
1012 "B15" "B19" "All" "All" 4 21821 54762.0095590987 1170 4.59702409027837 4.34073708557315 4.86844286350261
1012 "B15" "B19" "All" "All" 5 17689 71913.8628864436 1490 3.87673898857114 3.68454661861455 4.07895644733591
1012 "B15" "B19" "All" "All" 6 11227 69766.4188786586 1445 3.00143585026138 2.85031560719019 3.1605683035623
1013 "B20" "B24" "All" "All" 0 7376447 101594294.131559 1033051 1 NA NA
1013 "B20" "B24" "All" "All" 1 4593 2178.42258402575 116 15.3268556016871 12.7763512656675 18.3865093993011
1013 "B20" "B24" "All" "All" 2 4506 2161.81923048132 42 5.53468801909538 4.09016015054512 7.48938191690008
1013 "B20" "B24" "All" "All" 3 4587 4296.79364473389 70 4.46481482723639 3.5322686725589 5.64356035439077
1013 "B20" "B24" "All" "All" 4 5751 13582.7361179729 193 3.69632766845659 3.209812106069 4.25658505267787
1013 "B20" "B24" "All" "All" 5 4885 20851.0868478179 384 4.14589312673318 3.75105464953886 4.58229256148174
1013 "B20" "B24" "All" "All" 6 3406 24033.7363799686 417 2.70281058987878 2.45524630043825 2.97533696861978
1014 "B25" "B34" "All" "All" 0 7352650 99986598.5198967 1027491 1 NA NA
1014 "B25" "B34" "All" "All" 1 174678 84684.4520023954 963 4.0931614979263 3.84210385067312 4.36062420467136
1014 "B25" "B34" "All" "All" 2 171098 82521.235129875 480 2.18736005451996 2.00003039991666 2.39223564217271
1014 "B25" "B34" "All" "All" 3 167075 157235.145467475 683 1.66660790097443 1.54608915909158 1.79652116390388
